#node	date	numeric date
NODE_0000257	2014-06-03	2014.421629
KM233037_Kailahun_2014-06-03	2014-06-03	2014.421629
NODE_0000258	2014-06-06	2014.430006
NODE_0000259	2014-06-24	2014.480784
KR105224_Kailahun_2014-07-11	2014-07-11	2014.525667
NODE_0000260	2014-06-27	2014.488276
KR105238_Kailahun_2014-07-14	2014-07-14	2014.533881
NODE_0000261	2014-06-28	2014.491158
KR105261_Kenema_2014-07-26	2014-07-26	2014.566735
KR105271_Unk_2014-08-05	2014-08-05	2014.594114
NODE_0000262	2014-06-07	2014.432580
KM233056_Kailahun_2014-06-07	2014-06-07	2014.432580
NODE_0000263	2014-06-10	2014.441204
NODE_0000264	2014-06-13	2014.449171
NODE_0000265	2014-06-15	2014.454483
KM233079_Kailahun_2014-06-15	2014-06-15	2014.454483
KM233089_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000266	2014-06-14	2014.451745
KM233064_Kailahun_2014-06-14	2014-06-14	2014.451745
KM233076_Kailahun_2014-06-14	2014-06-14	2014.451745
NODE_0000267	2014-06-11	2014.443695
NODE_0000268	2014-06-12	2014.446270
KM233071_Kailahun_2014-06-12	2014-06-12	2014.446270
KM233063_Unk_2014-06-12	2014-06-12	2014.446270
NODE_0000269	2014-06-15	2014.454483
KM233082_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000270	2014-06-16	2014.457425
NODE_0000271	2014-06-18	2014.462697
KM233111_Kailahun_2014-06-18	2014-06-18	2014.462697
KM233108_Kailahun_2014-06-18	2014-06-18	2014.462697
NODE_0000272	2014-06-17	2014.459959
KM233106_Kailahun_2014-06-17	2014-06-17	2014.459959
NODE_0000273	2014-06-19	2014.465435
KR105201_Kenema_2014-06-19	2014-06-19	2014.465435
NODE_0000274	2014-06-21	2014.470910
KR105207_Kenema_2014-06-21	2014-06-21	2014.470910
NODE_0000275	2014-06-24	2014.479124
KR105210_Unk_2014-06-24	2014-06-24	2014.479124
NODE_0000276	2014-07-04	2014.506502
KR105214_Kailahun_2014-07-04	2014-07-04	2014.506502
NODE_0000277	2014-07-07	2014.514899
NODE_0000278	2014-07-08	2014.517454
KR105217_Kenema_2014-07-08	2014-07-08	2014.517454
NODE_0000279	2014-07-10	2014.522930
KR105223_Kailahun_2014-07-11	2014-07-11	2014.525667
KR105221_Kailahun_2014-07-10	2014-07-10	2014.522930
NODE_0000280	2014-07-10	2014.523093
NODE_0000281	2014-07-12	2014.528405
KR105236_Kailahun_2014-07-13	2014-07-13	2014.531143
KR105229_Kailahun_2014-07-12	2014-07-12	2014.528405
NODE_0000282	2014-07-11	2014.525667
KR105222_Kailahun_2014-07-11	2014-07-11	2014.525667
KR105225_Kailahun_2014-07-11	2014-07-11	2014.525667
